plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p10,1_2,291,0.175,6.8,good
p10,1_2,308,0.138,5,good
p10,1_2,53,0.138,5,good
p10,1_2,62,0.123,1.7,
p10,1_2,66,0.105,2,
p10,1_2,100,0.097,,
p10,1_2,100,0.097,,
p10,1_2,673,0.094,,
p10,1_2,673,0.094,,
p10,1_2,243,0.093,,
p10,1_2,161,0.091,,
p10,1_2,96,0.089,,
p10,1_2,226,0.088,,
p10,1_2,226,0.088,,
p10,1_2,226,0.088,,
p10,1_2,226,0.088,,
p10,1_2,38,0.086,,
p10,1_2,38,0.086,,
p10,1_2,38,0.086,,
p10,1_2,672,0.085,,
p10,1_2,672,0.085,,
p10,1_2,672,0.085,,
p10,1_2,1,0.077,,
p10,1_2,90,0.076,,
p10,1_2,207,0.075,,
p10,1_2,207,0.075,,
p10,1_2,207,0.075,,
p10,1_2,207,0.075,,
p10,1_2,127,0.068,,
p10,1_2,107,0.066,,
p10,1_2,107,0.066,,
p10,1_2,224,0.062,,
p10,1_2,224,0.062,,
p10,1_2,224,0.062,,
p10,1_2,224,0.062,,
p10,1_2,122,0.058,,
p10,1_2,662,0.044,,
p10,1_2,144,0.041,,
p10,1_2,144,0.041,,
p10,2_0,21,0.106,,
p10,2_0,167,0.102,,
p10,2_0,166,0.187,3,good
p10,2_0,42,0.179,2,good
p10,2_0,12,0.071,,
p10,2_1,39,0.118,,
p10,2_1,39,0.118,,
p10,2_1,39,0.118,,
p10,2_1,67,0.29,,
p10,2_1,39,0.118,,
p10,2_1,22,0.115,,
p10,2_1,5,0.155,2.5,good
p10,2_1,209,0.105,,
p10,2_1,15,0.08,,
p10,2_1,15,0.08,,
p10,2_2,4,0.165,,
p10,2_2,160,0.074,,
p10,2_2,160,0.074,,
p14,0_0,139,0.154,,
p14,0_0,70,0.137,,
p14,0_0,61,0.12,,
p14,0_0,61,0.12,,
p14,0_0,61,0.12,,
p14,0_0,52,0.108,,
p14,0_0,139,0.154,4.1,good
p14,0_0,142,0.142,5.5,good
p14,0_0,70,0.137,5,good
p14,0_0,56,0.134,6.5,good
p14,0_0,134,0.123,5.6,good
p14,0_0,61,0.12,,
p14,0_0,65,0.111,4,good
p14,0_0,52,0.108,3.6,
p14,0_0,140,0.107,5,good
p14,0_1,127,0.152,,
p14,0_1,127,0.152,,
p14,0_1,63,0.121,,
p14,0_1,118,0.247,4,good
p14,0_1,22,0.186,,
p14,0_1,16,0.142,,
p14,0_1,32,0.11,,
p14,0_1,62,0.089,,
p14,0_1,73,0.081,,
p14,0_1,57,0.229,3,good
p14,0_1,12,0.212,3,
p14,0_1,18,0.162,2.8,good
p14,0_1,27,0.157,2.2,good
p14,0_1,127,0.152,2.7,good
p14,0_1,28,0.13,2.5,
p14,0_1,63,0.121,4,good
p14,0_1,51,0.099,,
p14,0_2,6,0.206,,
p14,0_2,38,0.145,,
p14,0_2,185,0.144,,
p14,0_2,44,0.144,,
p14,0_2,62,0.141,,
p14,0_2,84,0.134,,
p14,0_2,142,0.118,,
